,is_canceled,stays_in_week_nights,stays_in_weekend_nights,previous_cancellations,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,meal,previous_bookings_not_canceled,Booking_id
0,0,0,0,0,3,No Deposit,0,0,BB,0,1
1,0,0,0,0,4,No Deposit,0,0,BB,0,2
2,0,1,0,0,0,No Deposit,0,0,BB,0,3
4,0,2,0,0,0,No Deposit,0,1,BB,0,4
6,0,2,0,0,0,No Deposit,0,0,BB,0,5
7,0,2,0,0,0,No Deposit,0,1,FB,0,6
8,1,3,0,0,0,No Deposit,0,1,BB,0,7
9,1,3,0,0,0,No Deposit,0,0,HB,0,8
10,1,4,0,0,0,No Deposit,0,0,BB,0,9
11,0,4,0,0,0,No Deposit,0,0,HB,0,10
12,0,4,0,0,0,No Deposit,0,3,BB,0,11
13,0,4,0,0,1,No Deposit,0,1,HB,0,12
14,0,4,0,0,0,No Deposit,0,0,BB,0,13
19,0,4,0,0,0,No Deposit,0,1,BB,0,14
20,0,4,1,0,0,No Deposit,0,1,BB,0,15
21,0,4,2,0,1,No Deposit,0,1,BB,0,16
24,0,5,2,0,0,No Deposit,0,1,HB,0,17
25,0,5,2,0,0,No Deposit,1,0,BB,0,18
26,0,5,2,0,0,No Deposit,0,0,BB,0,19
27,1,5,2,0,0,No Deposit,0,2,BB,0,20
29,0,5,2,0,0,No Deposit,1,1,BB,0,21
30,0,10,4,0,2,No Deposit,0,2,BB,0,22
31,0,11,4,0,0,No Deposit,0,0,BB,0,23
32,1,8,2,0,0,No Deposit,0,2,BB,0,24
33,0,4,2,0,0,No Deposit,0,0,BB,0,25
34,1,3,1,0,0,No Deposit,0,1,BB,0,26
36,0,3,1,0,0,No Deposit,0,0,BB,0,27
37,0,3,1,0,0,No Deposit,0,1,BB,0,28
38,1,3,1,0,0,No Deposit,0,0,BB,0,29
39,0,3,2,0,0,No Deposit,0,1,HB,0,30
40,1,3,2,0,0,No Deposit,0,0,BB,0,31
41,0,3,2,0,0,No Deposit,0,0,BB,0,32
44,0,5,2,0,0,No Deposit,0,2,BB,0,33
45,1,5,2,0,0,No Deposit,0,0,BB,0,34
46,0,5,2,0,0,No Deposit,0,1,BB,0,35
48,0,5,2,0,1,No Deposit,0,0,HB,0,36
49,0,5,2,0,1,No Deposit,0,1,HB,0,37
51,0,8,3,0,0,No Deposit,0,0,BB,0,38
52,0,10,4,0,0,No Deposit,0,0,BB,0,39
53,0,1,0,0,0,No Deposit,1,0,BB,0,40
55,0,1,0,0,0,No Deposit,1,2,BB,0,41
57,0,1,0,0,0,No Deposit,0,2,BB,0,42
61,0,2,0,0,0,No Deposit,1,2,BB,0,43
62,0,3,0,0,0,No Deposit,0,1,BB,0,44
63,0,3,0,0,0,No Deposit,0,0,BB,0,45
64,1,3,0,0,0,No Deposit,0,2,HB,0,46
65,0,2,0,0,0,No Deposit,1,0,BB,0,47
68,1,2,0,0,0,No Deposit,0,2,BB,0,48
70,1,2,0,0,0,No Deposit,0,1,BB,0,49
72,0,2,0,0,0,No Deposit,0,0,HB,0,50
74,1,2,0,0,0,No Deposit,0,0,BB,0,51
75,0,2,1,0,0,No Deposit,1,0,BB,0,52
76,1,2,1,0,0,No Deposit,0,0,BB,0,53
77,0,2,2,0,0,No Deposit,0,0,BB,0,54
78,0,2,2,0,0,No Deposit,1,0,BB,0,55
79,0,6,2,0,0,No Deposit,0,0,BB,0,56
80,0,7,2,0,0,No Deposit,0,0,BB,0,57
81,1,7,3,0,0,No Deposit,0,0,BB,0,58
82,0,7,3,0,0,No Deposit,0,0,BB,0,59
83,1,7,3,0,2,No Deposit,0,1,HB,0,60
84,0,7,3,0,0,No Deposit,0,0,HB,0,61
85,0,10,4,0,0,No Deposit,0,0,HB,0,62
86,0,10,4,0,1,No Deposit,0,1,BB,0,63
87,1,15,6,0,0,No Deposit,0,2,BB,0,64
90,0,1,0,0,0,No Deposit,0,1,BB,0,65
96,1,5,2,0,0,No Deposit,0,1,BB,0,66
98,0,5,2,0,0,No Deposit,1,2,BB,0,67
100,0,1,2,0,0,No Deposit,0,1,BB,0,68
101,0,1,2,0,0,No Deposit,1,0,BB,0,69
102,0,4,2,0,0,No Deposit,0,2,BB,0,70
103,0,4,2,0,0,No Deposit,1,2,BB,0,71
106,1,5,2,0,0,No Deposit,0,1,HB,0,72
111,0,5,2,0,0,No Deposit,0,2,HB,0,73
113,0,6,2,0,0,No Deposit,0,1,BB,0,74
114,1,6,2,0,0,No Deposit,0,1,BB,0,75
116,0,6,4,0,0,No Deposit,0,1,BB,0,76
118,0,6,4,0,1,No Deposit,0,1,HB,0,77
119,0,1,0,0,1,No Deposit,1,0,BB,0,78
121,1,1,0,0,0,No Deposit,0,0,HB,0,79
122,1,1,0,0,1,No Deposit,0,0,BB,0,80
123,1,1,0,0,0,No Deposit,0,2,BB,0,81
124,1,1,0,0,0,No Deposit,0,0,BB,0,82
125,0,1,0,0,2,No Deposit,0,1,FB,0,83
127,0,1,1,0,0,No Deposit,1,1,BB,0,84
128,0,1,1,0,0,No Deposit,0,0,BB,0,85
129,0,1,1,0,0,No Deposit,0,2,BB,0,86
130,0,1,1,0,0,No Deposit,0,1,BB,0,87
131,0,0,1,0,0,No Deposit,0,1,BB,0,88
132,1,0,1,0,0,No Deposit,0,0,BB,0,89
133,0,0,1,0,1,No Deposit,0,0,BB,0,90
134,0,0,1,0,0,No Deposit,0,0,BB,0,91
137,0,0,1,0,0,No Deposit,1,0,BB,0,92
140,0,0,2,0,3,No Deposit,2,0,HB,0,93
