,market_segment,distribution_channel,is_repeated_guest,agent,company,customer_type,adr,Marketing_id
0,Direct,Direct,0,,,Transient,0.0,1
2,Direct,Direct,0,,,Transient,75.0,2
3,Corporate,Corporate,0,304.0,,Transient,75.0,3
4,Online TA,TA/TO,0,240.0,,Transient,98.0,4
6,Direct,Direct,0,,,Transient,107.0,5
7,Direct,Direct,0,303.0,,Transient,103.0,6
8,Online TA,TA/TO,0,240.0,,Transient,82.0,7
9,Offline TA/TO,TA/TO,0,15.0,,Transient,105.5,8
10,Online TA,TA/TO,0,240.0,,Transient,123.0,9
11,Online TA,TA/TO,0,240.0,,Transient,145.0,10
12,Online TA,TA/TO,0,240.0,,Transient,97.0,11
13,Online TA,TA/TO,0,241.0,,Transient,154.77,12
14,Online TA,TA/TO,0,241.0,,Transient,94.71,13
16,Offline TA/TO,TA/TO,0,8.0,,Contract,97.5,14
17,Online TA,TA/TO,0,240.0,,Transient,88.2,15
18,Corporate,Corporate,0,,110.0,Transient,107.42,16
19,Direct,Direct,0,250.0,,Transient,153.0,17
20,Online TA,TA/TO,0,241.0,,Transient,97.29,18
21,Direct,Direct,0,250.0,,Transient,84.67,19
23,Direct,Direct,0,250.0,,Transient,99.67,20
24,Offline TA/TO,TA/TO,0,115.0,,Contract,94.95,21
25,Offline TA/TO,TA/TO,0,5.0,,Transient,63.6,22
26,Offline TA/TO,TA/TO,0,8.0,,Contract,79.5,23
27,Online TA,TA/TO,0,240.0,,Transient,107.0,24
28,Online TA,TA/TO,0,240.0,,Transient,94.0,25
29,Online TA,TA/TO,0,240.0,,Transient,87.3,26
30,Direct,Direct,0,,,Transient,62.0,27
31,Offline TA/TO,TA/TO,0,241.0,,Transient,63.86,28
32,Direct,Direct,0,,,Transient,108.3,29
33,Offline TA/TO,TA/TO,0,175.0,,Transient,65.5,30
34,Online TA,TA/TO,0,241.0,,Transient,108.8,31
39,Direct,Direct,0,250.0,,Transient,137.0,32
40,Online TA,TA/TO,0,241.0,,Transient,117.81,33
42,Direct,Direct,0,,,Transient,123.0,34
44,Online TA,TA/TO,0,240.0,,Transient,110.7,35
45,Online TA,TA/TO,0,240.0,,Transient,153.0,36
46,Offline TA/TO,TA/TO,0,134.0,,Transient,58.95,37
47,Offline TA/TO,TA/TO,0,156.0,,Transient-Party,82.88,38
48,Offline TA/TO,TA/TO,0,243.0,,Contract,82.35,39
49,Online TA,TA/TO,0,241.0,,Transient,119.35,40
50,Offline TA/TO,TA/TO,0,156.0,,Transient-Party,67.58,41
51,Offline TA/TO,TA/TO,0,156.0,,Contract,56.01,42
52,Offline TA/TO,TA/TO,0,243.0,,Contract,110.7,43
54,Online TA,TA/TO,0,240.0,,Transient,147.0,44
56,Direct,Direct,0,,,Transient,147.0,45
57,Online TA,TA/TO,0,240.0,,Transient,117.9,46
59,Online TA,TA/TO,0,242.0,,Transient,98.0,47
61,Online TA,TA/TO,0,240.0,,Transient,135.0,48
62,Direct,Direct,0,250.0,,Transient,133.0,49
63,Offline TA/TO,TA/TO,0,115.0,,Contract,58.95,50
64,Online TA,TA/TO,0,240.0,,Transient,136.33,51
66,Online TA,TA/TO,0,240.0,,Transient,110.5,52
67,Online TA,TA/TO,0,242.0,,Transient,97.0,53
68,Offline TA/TO,TA/TO,0,242.0,,Transient,110.3,54
71,Online TA,TA/TO,0,240.0,,Transient,73.8,55
72,Offline TA/TO,TA/TO,0,3.0,,Transient,91.5,56
73,Online TA,TA/TO,0,240.0,,Transient,114.5,57
74,Online TA,TA/TO,0,242.0,,Transient,110.3,58
75,Online TA,TA/TO,0,240.0,,Transient,90.9,59
77,Online TA,TA/TO,0,240.0,,Transient,122.0,60
78,Offline TA/TO,TA/TO,0,105.0,,Transient,110.7,61
79,Offline TA/TO,TA/TO,0,5.0,,Transient,85.86,62
80,Offline TA/TO,TA/TO,0,40.0,,Contract,58.95,63
81,Offline TA/TO,TA/TO,0,40.0,,Contract,55.68,64
83,Direct,Direct,0,250.0,,Transient,124.0,65
84,Offline TA/TO,TA/TO,0,115.0,,Contract,111.15,66
85,Offline TA/TO,TA/TO,0,40.0,,Contract,134.73,67
86,Online TA,TA/TO,0,241.0,,Transient,92.45,68
87,Offline TA/TO,TA/TO,0,242.0,,Transient,108.73,69
90,Online TA,TA/TO,0,240.0,,Transient,131.0,70
96,Online TA,TA/TO,0,242.0,,Transient,117.0,71
97,Offline TA/TO,TA/TO,0,105.0,,Transient,196.54,72
98,Online TA,TA/TO,0,240.0,,Transient,99.3,73
99,Direct,Direct,0,250.0,,Transient,90.95,74
100,Direct,Direct,0,250.0,,Transient,92.67,75
101,Offline TA/TO,TA/TO,0,8.0,,Transient,71.55,76
102,Offline TA/TO,TA/TO,0,241.0,,Transient,96.49,77
103,Online TA,TA/TO,0,240.0,,Transient,85.8,78
104,Online TA,TA/TO,0,240.0,,Transient,96.3,79
105,Online TA,TA/TO,0,240.0,,Transient,163.0,80
106,Direct,Direct,0,250.0,,Transient,172.0,81
111,Online TA,TA/TO,0,240.0,,Transient,139.0,82
112,Online TA,TA/TO,0,147.0,,Transient,67.24,83
113,Online TA,TA/TO,0,241.0,,Transient,116.5,84
116,Offline TA/TO,TA/TO,0,40.0,,Contract,71.55,85
118,Direct,Direct,0,250.0,,Transient,149.0,86
121,Online TA,TA/TO,0,240.0,,Transient,105.0,87
122,Direct,Direct,0,250.0,,Transient,123.0,88
124,Online TA,TA/TO,0,240.0,,Transient,113.0,89
125,Complementary,Direct,0,,,Transient,0.0,90
127,Online TA,TA/TO,0,240.0,,Transient-Party,73.8,91
133,Online TA,TA/TO,0,306.0,,Transient,85.1,92
134,Online TA,TA/TO,0,184.0,,Transient,89.0,93
135,Online TA,TA/TO,0,240.0,,Transient,80.1,94
137,Online TA,TA/TO,0,184.0,,Transient,101.0,95
139,Direct,Direct,0,,,Transient,167.0,96
140,Online TA,TA/TO,0,240.0,,Transient,225.0,97
143,Offline TA/TO,TA/TO,0,241.0,,Transient,85.59,98
150,Direct,Direct,0,250.0,,Transient,164.2,99
152,Online TA,TA/TO,0,240.0,,Transient,114.0,100
153,Offline TA/TO,TA/TO,0,175.0,,Transient,98.4,101
154,Online TA,TA/TO,0,240.0,,Transient,175.0,102
156,Direct,Direct,0,,,Transient,124.45,103
157,Offline TA/TO,TA/TO,0,40.0,,Contract,110.7,104
158,Offline TA/TO,TA/TO,0,40.0,,Contract,74.07,105
159,Offline TA/TO,TA/TO,0,243.0,,Contract,134.1,106
160,Online TA,TA/TO,0,240.0,,Transient,167.0,107
163,Offline TA/TO,TA/TO,0,96.0,,Transient,171.32,108
164,Direct,Direct,0,250.0,,Transient,210.0,109
167,Online TA,TA/TO,0,240.0,,Transient,0.0,110
168,Direct,Direct,0,250.0,,Transient,0.0,111
169,Direct,Direct,0,,,Transient,131.0,112
174,Offline TA/TO,TA/TO,0,175.0,,Transient,91.5,113
177,Direct,Direct,0,250.0,,Transient,175.0,114
178,Online TA,TA/TO,0,240.0,,Transient,117.8,115
